Kapitel,Nummer / ID,Titel / Thema
C1.1: Identität & Zustände,Neue Vokabeln A,Die Personen (Wer?)
C1.1: Identität & Zustände,Neue Vokabeln B,Soziale Interaktion (Was sagen wir?)
C1.1: Identität & Zustände,Neue Vokabeln C,Zustände (Wie ist es?)
C1.1: Identität & Zustände,Neue Vokabeln D,Eigenschaften von Menschen
C1.1: Identität & Zustände,Neue Vokabeln E,Gegenstände (Was?)
C1.1: Identität & Zustände,C1.1-2a,Identität (Pronomen)
C1.1: Identität & Zustände,C1.1-2b,Begrüßung & Höflichkeit
C1.1: Identität & Zustände,C1.1-2c,Zustand & Antworten
C1.1: Identität & Zustände,C1.1-3a,Übung – Grundzustände (Teil 1)
C1.1: Identität & Zustände,C1.1-3b,Übung – Grundzustände (Teil 2)
C1.1: Identität & Zustände,C1.1-3c,Übung – Personenbeschreibung (Teil 1)
C1.1: Identität & Zustände,C1.1-3d,Übung – Personenbeschreibung (Teil 2)
C1.1: Identität & Zustände,C1.1-3e,Übung – Wer ist das? (Extra)
C1.1: Identität & Zustände,C1.1-3f,Übung – Verneinung (Si)
C1.1: Identität & Zustände,C1.1-4,Übung – Fragen & Antworten
C1.1: Identität & Zustände,C1.1-5,Übung – Ortsangaben
C1.2: Handlungen in der Gegenwart,Neue Vokabeln A,Die Verben (Die Tätigkeit)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln B,Die Orte (Das Ziel)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln C,Dinge des Alltags (Das Objekt)
C1.2: Handlungen in der Gegenwart,Neue Vokabeln D,Grammatik-Bausteine
C1.2: Handlungen in der Gegenwart,Neue Vokabeln E,Personen & Berufe (Wer?)
C1.2: Handlungen in der Gegenwart,C1.2-2a,Übung – Einfache Sätze (Subjekt & Transport)
C1.2: Handlungen in der Gegenwart,C1.2-2b,Übung – Einfache Sätze (Arbeit & Alltag)
C1.2: Handlungen in der Gegenwart,C1.2-3a,Übung – Kaufen & Verkaufen
C1.2: Handlungen in der Gegenwart,C1.2-3b,Übung – Orte & Fragen
C1.2: Handlungen in der Gegenwart,C1.2-4a,Übung – Reden & Geben
C1.2: Handlungen in der Gegenwart,C1.2-4b,Übung – Interaktionen
C1.2: Handlungen in der Gegenwart,C1.2-5a,Übung – Wissen & Können
C1.2: Handlungen in der Gegenwart,C1.2-5b,Übung – Wünsche
C1.2: Handlungen in der Gegenwart,C1.2-6,Übung – Komplexe Sätze
C1.2: Handlungen in der Gegenwart,C1.2-7,Übung – Verneinung
C1.2: Handlungen in der Gegenwart,C1.2-8,Übung – Richtungen
C1.3: Ort & Kontext,Neue Vokabeln,"Neue Vokabeln (Hapa, Pale, Wapi...)"
C1.3: Ort & Kontext,C1.3-2a,Übung – Handlungen an Orten
C1.3: Ort & Kontext,C1.3-2b,Übung – Ort & Sein
C1.3: Ort & Kontext,C1.3-3a,Übung – Vergleiche
C1.3: Ort & Kontext,C1.3-3b,Übung – Zustände
C1.3: Ort & Kontext,C1.3-4a,Übung – Aber & Und (Teil 1)
C1.3: Ort & Kontext,C1.3-4b,Übung – Aber & Und (Teil 2)
C1.3: Ort & Kontext,C1.3-5a,Übung – Jetzt gerade (Teil 1)
C1.3: Ort & Kontext,C1.3-5b,Übung – Jetzt gerade (Teil 2)
C1.3: Ort & Kontext,C1.3-6a,Übung – Dialoge (Begrüßung)
C1.3: Ort & Kontext,C1.3-6b,Übung – Dialoge (Kauf & Frage)
C1.3: Ort & Kontext,C1.3-7a,Übung – Gemischte Wiederholung (Personen)
C1.3: Ort & Kontext,C1.3-7b,Übung – Gemischte Wiederholung (Orte & Kontraste)
C1.3: Ort & Kontext,C1.3-8a,Übung – Satzbau-Profis (Teil 1)
C1.3: Ort & Kontext,C1.3-8b,Übung – Satzbau-Profis (Teil 2)
C1.3: Ort & Kontext,C1.3-Integration,Wünsche & Bedürfnisse
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln A,Pronomen & Präfixe
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln B,Gruppen-Aktivitäten (Verben)
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln C,Objekte (Essen)
"C2.1: Der Plural (Wir, Ihr, Sie)",Neue Vokabeln D,Orte (Lokativ)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2a,Fokus auf Wir (Tu-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2b,Fokus auf Ihr (M-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-2c,Fokus auf Sie (Wa-)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-3a,Mit Objekten (Was?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-3b,Mit Adverbien & Orten (Wie & Wo?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-4a,Fragen (Wer & Was?)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-4b,"Die Verneinung (Hatu-, Ham-, Hawa-)"
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5a,Verbindungen (und/aber/dass)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5b,Adjektive & Zustände (Wir sind...)
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-5c,Orte & Aktionen
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-6,Übung – Mix & Match
"C2.1: Der Plural (Wir, Ihr, Sie)",C2.1-7,Übung – Integration & Objekt-Präfixe
C2.2: Besitz und Familie,Neue Vokabeln A,Die Familie (Personen)
C2.2: Besitz und Familie,Neue Vokabeln B,Besitzanzeiger (Wem gehört es?)
C2.2: Besitz und Familie,C2.2-2,Übung – Einfache Besitzanzeiger
C2.2: Besitz und Familie,C2.2-3,Übung – Orte des Besitzes
C2.2: Besitz und Familie,C2.2-4,Übung – Menschen identifizieren
C2.2: Besitz und Familie,C2.2-5,Übung – Familie in Aktion
C2.2: Besitz und Familie,C2.2-6,Übung – Wen sehen wir?
C2.2: Besitz und Familie,C2.2-7,Übung – Mix & Match
C2.2: Besitz und Familie,C2.2-8,Übung – Fortgeschrittene Wünsche
C2.3: Nomenklassen & Objekte,Neue Vokabeln A,Ji/Ma-Klasse (Veränderlich)
C2.3: Nomenklassen & Objekte,Neue Vokabeln B,N-Klasse (Unveränderlich im Plural)
C2.3: Nomenklassen & Objekte,Neue Vokabeln C,Adjektive & Zustände
C2.3: Nomenklassen & Objekte,Neue Vokabeln D,Verben & Sonstiges
C2.3: Nomenklassen & Objekte,C2.3-1a,Nomen (Singular & Plural)
C2.3: Nomenklassen & Objekte,C2.3-1b,Adjektive anpassen
C2.3: Nomenklassen & Objekte,C2.3-1c,Zustände
C2.3: Nomenklassen & Objekte,C2.3-2,Tische & Straßen
C2.3: Nomenklassen & Objekte,C2.3-3a,Hier und Dort (Sachen)
C2.3: Nomenklassen & Objekte,C2.3-3b,Weitere Ortsangaben
C2.3: Nomenklassen & Objekte,C2.3-4a,Essen und Trinken
C2.3: Nomenklassen & Objekte,C2.3-4b,Kaufen und Nehmen
C2.3: Nomenklassen & Objekte,C2.3-5a,Satzbau
C2.3: Nomenklassen & Objekte,C2.3-5b,Fragen & Verneinung
C2.3: Nomenklassen & Objekte,C2.3-6a,Besitz und Zustand
C2.3: Nomenklassen & Objekte,C2.3-6b,Antworten und Fragen
C2.3: Nomenklassen & Objekte,C2.3-6c,Gemischte Sätze
C2.3: Nomenklassen & Objekte,C2.3-7a,Kontraste
C2.3: Nomenklassen & Objekte,C2.3-7b,Weitere Kontraste
C2.3: Nomenklassen & Objekte,C2.3-7c,Adjektiv-Unterschiede (Feinheiten)
C3.1: Vergangenheit & Zukunft,C3.1-1a,Zeitangaben
C3.1: Vergangenheit & Zukunft,C3.1-1b,Neue Verben
C3.1: Vergangenheit & Zukunft,C3.1-2a,Übung – Gestern (Personen)
C3.1: Vergangenheit & Zukunft,C3.1-2b,Übung – Gestern (Klassen & Fragen)
C3.1: Vergangenheit & Zukunft,C3.1-3a,Übung – Was geschah? (Einfach)
C3.1: Vergangenheit & Zukunft,C3.1-3b,Übung – Was geschah? (Komplex)
C3.1: Vergangenheit & Zukunft,C3.1-4a,Übung – Morgen (Personen)
C3.1: Vergangenheit & Zukunft,C3.1-4b,Übung – Morgen (Klassen & Fragen)
C3.1: Vergangenheit & Zukunft,C3.1-5a,Übung – Pläne (Aussagen)
C3.1: Vergangenheit & Zukunft,C3.1-5b,Übung – Pläne (Dialoge)
C3.1: Vergangenheit & Zukunft,C3.1-6a,Übung – Zeiten-Mix (Vergleich)
C3.1: Vergangenheit & Zukunft,C3.1-6b,Übung – Zeiten-Mix (Zustand & Ort)
C3.1: Vergangenheit & Zukunft,C3.1-6c,Übung – Zeiten-Mix (Abschluss)
C3.1: Vergangenheit & Zukunft,C3.1-7a,Übung – Verneinung der Vergangenheit
C3.1: Vergangenheit & Zukunft,C3.1-7b,Übung – Verneinung der Zukunft
C3.1: Vergangenheit & Zukunft,C3.1-8a,Übung – Profi-Sätze (Wissen & Bedingung)
C3.1: Vergangenheit & Zukunft,C3.1-8b,Übung – Profi-Sätze (Wünsche & Bedürfnisse)
C3.2: Zahlen & Mengen,C3.2-1a,Grundzahlen
C3.2: Zahlen & Mengen,C3.2-1b,Die Zehner
C3.2: Zahlen & Mengen,C3.2-1c,Mengen & Fragen
C3.2: Zahlen & Mengen,C3.2-1d,Nomen
C3.2: Zahlen & Mengen,C3.2-2,Übung – Zählen
C3.2: Zahlen & Mengen,C3.2-3a,Übung – Anpassung
C3.2: Zahlen & Mengen,C3.2-3b,Übung – Starre Zahlen & Kontraste
C3.2: Zahlen & Mengen,C3.2-4a,Übung – Viel & Ein bisschen
C3.2: Zahlen & Mengen,C3.2-4b,Übung – Wenige (-chache)
C3.2: Zahlen & Mengen,C3.2-4c,Übung – Zustände & Genug
C3.2: Zahlen & Mengen,C3.2-5,Übung – Wie viele?
C3.2: Zahlen & Mengen,C3.2-6a,Übung – Vergangene Zählungen
C3.2: Zahlen & Mengen,C3.2-6b,Übung – Zukünftige Mengen
C3.2: Zahlen & Mengen,C3.2-7a,Übung – Besitz & Sein
C3.2: Zahlen & Mengen,C3.2-7b,Übung – Lokative & Zustände
C3.2: Zahlen & Mengen,C3.2-7c,Übung – Adjektive & Abschluss
C4.1: Das Perfekt,C4.1-0,Neue Vokabeln
C4.1: Das Perfekt,C4.1-1a,Grundlagen (Personen)
C4.1: Das Perfekt,C4.1-1b,Klassen & Zustände
C4.1: Das Perfekt,C4.1-1c,Kontext & Objekte
C4.1: Das Perfekt,C4.1-2a,Grundlagen der Verneinung
C4.1: Das Perfekt,C4.1-2b,Klassen & Fragen
C4.1: Das Perfekt,C4.1-2c,Kontext & Begründungen
C4.1: Das Perfekt,C4.1-3a,Zeit-Vergleich
C4.1: Das Perfekt,C4.1-3b,Kontextualisierung
C4.1: Das Perfekt,C4.1-3c,Objekte und Zustand
C4.1: Das Perfekt,C4.1-3d,Handlungen & Gründe
C4.1: Das Perfekt,C4.1-3e,Gemischter Kontext
C4.1: Das Perfekt,C4.1-3f,Abschluss
C4.1: Das Perfekt,C4.1-4a,Vergangene Module
C4.1: Das Perfekt,C4.1-4b,Adjektive & Konkordanz
C4.1: Das Perfekt,C4.1-4c,Integration komplexer Sätze
C4.1: Das Perfekt,C4.1-4d,Wünsche & Bedürfnisse (Perfekt)
C4.2: Verben umbauen,C4.2-0a,Verben der Veränderung & Passiv
C4.2: Verben umbauen,C4.2-0b,Wichtige Wörter im Kontext
C4.2: Verben umbauen,C4.2-1a,Kausativ Basics
C4.2: Verben umbauen,C4.2-1b,Kausativ Basics (Fortsetzung)
C4.2: Verben umbauen,C4.2-2a,Kausativ Anwendung
C4.2: Verben umbauen,C4.2-2b,Kausativ Anwendung (Fortsetzung)
C4.2: Verben umbauen,C4.2-3,Passiv Grundlagen
C4.2: Verben umbauen,C4.2-4,Passiv Kontext 1
C4.2: Verben umbauen,C4.2-5,Passiv Kontext 2
C4.2: Verben umbauen,C4.2-6,Vergleich (Kausativ vs. Passiv)
C4.2: Verben umbauen,C4.2-7a,Satzbau Profi 1
C4.2: Verben umbauen,C4.2-7b,Satzbau Profi 1 (Fortsetzung)
C4.2: Verben umbauen,C4.2-8a,Satzbau Profi 2
C4.2: Verben umbauen,C4.2-8b,Satzbau Profi 2 (Fortsetzung)
C4.2: Verben umbauen,C4.2-9a,Finale C4.2
C4.2: Verben umbauen,C4.2-9b,Finale C4.2 (Fortsetzung)
C4.2: Verben umbauen,C4.2-10a,Perfekt-Check (Teil A)
C4.2: Verben umbauen,C4.2-10b,Perfekt-Check (Teil B)
C4.2: Verben umbauen,C4.2-11a,Zahlen-Check (Teil A)
C4.2: Verben umbauen,C4.2-11b,Zahlen-Check (Teil B)
C4.2: Verben umbauen,C4.2-12,Kontrast & Integration
C5.1: Relativsätze & Wünsche,Neue Vokabeln,Neue Vokabeln (Relativ & Konjunktiv)
C5.1: Relativsätze & Wünsche,C5.1-1a,Relativsätze Basics (Personen & Nahrung)
C5.1: Relativsätze & Wünsche,C5.1-1b,Relativsätze Basics (Objekte & Flüssigkeiten)
C5.1: Relativsätze & Wünsche,C5.1-2a,Erweiterte Relativsätze (Allgemein & Negation)
C5.1: Relativsätze & Wünsche,C5.1-2b,Erweiterte Relativsätze (Kontext & Passiv)
C5.1: Relativsätze & Wünsche,C5.1-3a,Der Konjunktiv (Grundlagen)
C5.1: Relativsätze & Wünsche,C5.1-3b,Der Konjunktiv (Erweiterung & Negation)
C5.1: Relativsätze & Wünsche,C5.1-4,Zweck & Notwendigkeit
C5.1: Relativsätze & Wünsche,C5.1-5a,Struktur-Vergleich (Basics)
C5.1: Relativsätze & Wünsche,C5.1-5b,Struktur-Vergleich (Kontext)
C5.1: Relativsätze & Wünsche,C5.1-6a,Komplexer Kontext 1 (Negation)
C5.1: Relativsätze & Wünsche,C5.1-6b,Komplexer Kontext 1 (Bewegung)
C5.1: Relativsätze & Wünsche,C5.1-7a,Komplexer Kontext 2 (Kausativ)
C5.1: Relativsätze & Wünsche,C5.1-7b,Komplexer Kontext 2 (Zukunft & Passiv)
C5.1: Relativsätze & Wünsche,C5.1-8a,Komplexer Kontext 3 (Entscheidungen)
C5.1: Relativsätze & Wünsche,C5.1-8b,Komplexer Kontext 3 (Wahrheiten)
C5.1: Relativsätze & Wünsche,C5.1-9a,Abschluss C5.1 (Kausativ)
C5.1: Relativsätze & Wünsche,C5.1-9b,Abschluss C5.1 (Mix)
C5.1: Relativsätze & Wünsche,C5.1-10a,Aspekt-Check (Passiv)
C5.1: Relativsätze & Wünsche,C5.1-10b,Aspekt-Check (Perfekt)
C5.1: Relativsätze & Wünsche,C5.1-11a,Klassen-Check (Konkordanz)
C5.1: Relativsätze & Wünsche,C5.1-11b,Klassen-Check (Zukunft)
C5.1: Relativsätze & Wünsche,C5.1-12,Kontrast & Abschluss
C5.2: Bedingungen & Befehle,Neue Vokabeln A,Grammatik-Bausteine
C5.2: Bedingungen & Befehle,Neue Vokabeln B,Neue Verben & Adjektive
C5.2: Bedingungen & Befehle,C5.2-1a,Konditionalsätze (Realistisch: -ki-)
C5.2: Bedingungen & Befehle,C5.2-1b,Konditionalsätze (Realistisch: -ki-)
C5.2: Bedingungen & Befehle,C5.2-2a,Erweiterte Konditionale
C5.2: Bedingungen & Befehle,C5.2-3a,Befehle (Imperativ)
C5.2: Bedingungen & Befehle,C5.2-3b,Befehle (Imperativ)
C5.2: Bedingungen & Befehle,C5.2-4a,Unregelmäßige Befehle & Ort
C5.2: Bedingungen & Befehle,C5.2-5a,Struktur-Mix 1 (Teil A)
C5.2: Bedingungen & Befehle,C5.2-5b,Struktur-Mix 1 (Teil B)
C5.2: Bedingungen & Befehle,C5.2-6a,Struktur-Mix 2 (Teil A)
C5.2: Bedingungen & Befehle,C5.2-6b,Struktur-Mix 2 (Teil B)
C5.2: Bedingungen & Befehle,C5.2-7a,Struktur-Mix 3 (Teil A)
C5.2: Bedingungen & Befehle,C5.2-7b,Struktur-Mix 3 (Teil B)
C5.2: Bedingungen & Befehle,C5.2-8a,Struktur-Mix 4 (Teil A)
C5.2: Bedingungen & Befehle,C5.2-8b,Struktur-Mix 4 (Teil B)
C5.2: Bedingungen & Befehle,C5.2-9a,Struktur-Mix 5
C5.2: Bedingungen & Befehle,C5.2-10a,Wiederholung Aspekte (Teil A)
C5.2: Bedingungen & Befehle,C5.2-10b,Wiederholung Aspekte (Teil B)
C5.2: Bedingungen & Befehle,C5.2-11a,Wiederholung Klassen/Zahlen (Teil A)
C5.2: Bedingungen & Befehle,C5.2-11b,Wiederholung Klassen/Zahlen (Teil B)
C5.2: Bedingungen & Befehle,C5.2-12a,Kontrast
C5.2: Bedingungen & Befehle,C5.2-13a,Der hypothetische Konditional (-nge-) Teil A
C5.2: Bedingungen & Befehle,C5.2-13b,Der hypothetische Konditional (-nge-) Teil B
D1.1: Im Alltag,D1.1-1,Vokabeln Markt & Alltag
D1.1: Im Alltag,D1.1-2a,Preise und Mengen
D1.1: Im Alltag,D1.1-2b,Wünsche und Einschränkungen
D1.1: Im Alltag,D1.1-3a,Eigenschaften und Zustand
D1.1: Im Alltag,D1.1-3b,Wege und Richtungen
D1.1: Im Alltag,D1.1-4a,Reiseplanung
D1.1: Im Alltag,D1.1-4b,Gruppen und Bedingungen
D1.1: Im Alltag,D1.1-5a,Große Zahlen und Orte
D1.1: Im Alltag,D1.1-5b,Bedingungen und Negation
D1.1: Im Alltag,D1.1-6a,Lokalisierung und Relativsätze
D1.1: Im Alltag,D1.1-6b,Kooperation und Zukunft
D1.1: Im Alltag,D1.1-7a,Befehle und Zustände
D1.1: Im Alltag,D1.1-7b,Verluste und Wünsche
D1.1: Im Alltag,D1.1-8a,Verneinung und Interaktion
D1.1: Im Alltag,D1.1-8b,Passiv und Charakter
D1.1: Im Alltag,D1.1-9a,Grundlagen (Integration: Wünsche & Bedürfnisse)
D1.1: Im Alltag,D1.1-9b,Objektbezüge und Zeiten
D1.1: Im Alltag,D1.1-10a,Perfekt und Verneinung (Integration: Zeiten & Strukturen)
D1.1: Im Alltag,D1.1-10b,Komplexe Satzstrukturen